Year,Month,Region,District/Market,Crop Name,Min Price,Max Price,Average Price
2021,November,Dodoma,Kibaigwa,Sorghum (Mtama),41250,45167,43208
2021,November,Dodoma,Majengo,Sorghum (Mtama),50250,60000,55125
2021,November,D'Salaam,Kinondoni (Tandale),Sorghum (Mtama),79444,79444,79444
2021,November,D'Salaam,Temeke (Tandika),Sorghum (Mtama),71250,100000,85625
2021,November,Iringa,Iringa,Sorghum (Mtama),96667,116667,106667
2021,November,Kagera,Bukoba,Sorghum (Mtama),83333,120833,102083
2021,November,Katavi,Mpanda,Sorghum (Mtama),180000,200000,190000
2021,November,Kigoma,Kigoma,Sorghum (Mtama),77273,94545,85909
2021,November,Kilimanjaro,Moshi,Sorghum (Mtama),120000,126667,123333
2021,November,Lindi,Lindi,Sorghum (Mtama),150000,200000,175000
2021,November,Manyara,Babati,Sorghum (Mtama),60000,80000,70000
2021,November,Mara,Musoma,Sorghum (Mtama),60000,65000,62500
2021,November,Morogoro,Morogoro,Sorghum (Mtama),135000,135000,135000
2021,November,Mtwara,Mtwara,Sorghum (Mtama),73333,73333,73333
2021,November,Mwanza,Mwanza,Sorghum (Mtama),176667,200000,188333
2021,November,Shinyanga,Shinyanga,Sorghum (Mtama),120000,130000,125000
2021,November,Tabora,Tabora,Sorghum (Mtama),140000,150000,145000
2021,November,Tanga,Tanga,Sorghum (Mtama),82500,92500,87500
2021,November,Arusha,Arusha (Urban),Wheat (Ngano Punje),80000,83500,81750
2021,November,D'Salaam,Kinondoni (Tandale),Wheat (Ngano Punje),123333,133333,128333
2021,November,D'Salaam,Temeke (Tandika),Wheat (Ngano Punje),120000,130000,125000
2021,November,Iringa,Iringa,Wheat (Ngano Punje),143333,143333,143333
2021,November,Kagera,Bukoba,Wheat (Ngano Punje),150000,170000,160000
2021,November,Kigoma,Kigoma,Wheat (Ngano Punje),150000,150000,150000
2021,November,Kilimanjaro,Moshi,Wheat (Ngano Punje),140000,146667,143333
2021,November,Lindi,Lindi,Wheat (Ngano Punje),151111,165556,158333
2021,November,Manyara,Babati,Wheat (Ngano Punje),120000,130000,125000
2021,November,Morogoro,Morogoro,Wheat (Ngano Punje),160000,160000,160000
2021,November,Njombe,Njombe,Wheat (Ngano Punje),145000,150000,147500
2021,November,Rukwa,Sumbawanga,Wheat (Ngano Punje),72917,78750,75833
2021,November,Shinyanga,Shinyanga,Wheat (Ngano Punje),120000,130000,125000
2021,November,Tanga,Tanga,Wheat (Ngano Punje),120000,130000,125000
